experiment_number,cluster_config_type,hbase_config_type,table_config_type,phase,workload_type,total_number_operations,overall_throughput,number_insert_operations,insert_avg_latency,number_read_operations,read_avg_latency,number_update_operations,update_avg_latency,number_scan_operations,scan_avg_latency,number_delete_operations,delete_avg_latency,dfs_capacityUsed,dfs_bytes_written,dfs_bytes_read,dfs_writes_from_remote_client,dfs_writes_from_local_client,dfs_reads_from_remote_client,dfs_reads_from_local_client,dfs_readBlockOp_num_ops,dfs_readBlockOp_avg_time,dfs_writeBlockOp_num_ops,dfs_writeBlockOp_avg_time,storeFileCount,storeFileSize,hlogFileCount,hlogFileSize,blockCacheCount,blockCacheSize,blockCacheHitCount,blockCacheMissCount,blockCacheEvictionCount,numBytesCompactedCount,numFilesCompactedCount,compactionsCompletedCount,rs_ipc_avg_queueSize
50,2,2,1,1,workloadc,10000020,26409.264369940975,8999986,14.69228518799918,1000014,7154.929835982296,20,291455.0,0,0,0,0,47664433168.0,50024054428.0,7435340427.0,514.0,514.0,0.0,0.0,190489.0,274.7882620794335,1028.0,10422.857142857145,64.0,6466639007.0,30.0,1766769887.0,100128.0,6647667928.0,4757647.0,231392.0,84683.0,41670131915,571,139,3213396.2272727275
51,2,2,1,1,workloadc,10000020,26149.191597741756,9000229,15.704125417253271,999771,7240.858618623664,20,543223.3,0,0,0,0,42061230704.0,42262904986.0,4787259307.0,444.0,444.0,0.0,0.0,147050.0,5.791176470588243,888.0,9538.0,86.0,6402451530.0,29.0,1690146050.0,118235.0,7844032936.0,5448108.0,160379.0,28258.0,0,0,0,3975807.7884615385
52,2,2,1,1,workloadc,10000020,25546.960422648914,8999909,14.640251584766023,1000091,7447.159379496466,20,382545.0,0,0,0,0,48642875152.0,49432130600.0,7428180228.0,493.0,493.0,0.0,0.0,190721.0,802.1646258503401,986.0,10058.6,57.0,6452860531.0,29.0,1714406586.0,90020.0,5977735376.0,4378887.0,223687.0,94760.0,45751125484,542,149,3277882.2151898737
53,2,2,1,1,workloadc,10000020,26404.731727925646,9001412,14.259958659819148,998588,7202.3395734777505,20,328043.7,0,0,0,0,47756366528.0,50189686466.0,7473302448.0,512.0,512.0,0.0,0.0,192727.0,629.1407796610171,1024.0,10349.81818181818,57.0,6459070134.0,30.0,1764670819.0,93720.0,6224061608.0,4742339.0,232356.0,92748.0,44821700215,607,157,2451570.3441558443
54,2,2,1,1,workloadc,10000020,24903.06482018742,9000775,14.168410720187984,999225,7653.7862923765915,20,440240.75,0,0,0,0,42100766220.0,42378833850.0,4844155306.0,437.0,437.0,0.0,0.0,148810.0,14.02631836248857,874.0,8927.0,91.0,6425764171.0,28.0,1617923665.0,117404.0,7789479248.0,5865219.0,163363.0,30828.0,0,0,0,2537475.3238132913
55,2,2,1,1,workloadc,10000020,25426.33609039571,8999912,14.09517993064821,1000088,7451.510482077577,20,404838.5,0,0,0,0,48520884696.0,49391536416.0,7435574114.0,501.0,502.0,0.0,0.0,191640.0,1769.0386497064578,1003.0,15742.0,58.0,6397648159.0,26.0,1520811961.0,87559.0,5815853456.0,4582109.0,225173.0,98158.0,47099079260,576,151,2447679.575949367
56,2,2,1,1,workloadc,10000020,26766.52364420866,8999738,14.156183991133965,1000262,7102.875824533972,20,299676.7,0,0,0,0,47449850085.0,49892540530.0,7151942055.0,509.0,509.0,0.0,0.0,189141.0,611.7390818858561,1018.0,9535.222222222223,58.0,6455633670.0,26.0,1509839125.0,98470.0,6537652488.0,4702808.0,227873.0,84792.0,42329871311,568,143,3447696.4155844157
57,2,2,1,1,workloadc,10000020,29275.204487303345,8998490,13.78268298347834,1001510,6449.155282523389,20,296117.4,0,0,0,0,42003478526.0,42381795506.0,4653043168.0,440.0,440.0,0.0,0.0,142900.0,8.781997824510512,880.0,7230.916666666667,92.0,6454771572.0,28.0,1623892679.0,124334.0,8248132128.0,5888495.0,156597.0,17981.0,0,0,0,3391310.081081081
58,2,2,1,1,workloadc,10000020,25909.622056343065,9000152,15.360274470920046,999848,7287.4905725670305,20,476668.7,0,0,0,0,47942976972.0,49410552912.0,7238512608.0,503.0,503.0,0.0,0.0,193484.0,503.8861635220127,1006.0,10460.392857142859,56.0,6459329612.0,29.0,1682500171.0,93032.0,6177946760.0,4743176.0,219431.0,94144.0,46850357788,630,161,3155142.6153846155
59,2,2,1,1,workloadc,10000020,22101.35238175224,8999557,16.13111267587949,1000443,8646.82724553023,20,327679.0,0,0,0,0,45928449742.0,50480811426.0,7740849952.0,492.0,492.0,0.0,0.0,192328.0,1195.7062173263625,984.0,12076.75,56.0,6430300547.0,28.0,1622585355.0,91537.0,6079800208.0,4303812.0,242907.0,94981.0,54934249020,657,168,3777318.7352941176
